id,time,pop,popPred,indivPredMean,indivPredMode
16,61.1139,0.0583101,0.0583101,0.385477,
16,61.4856,0.0620716,0.0620716,0.400514,
16,61.5436,0.0626781,0.0626781,0.402877,
16,61.9763,0.0673839,0.0673839,0.42065,
16,61.9807,0.067434,0.067434,0.420833,
16,62.4121,0.0724523,0.0724523,0.438758,
16,62.4759,0.0732234,0.0732234,0.441424,
16,62.8509,0.0779094,0.0779094,0.457159,
16,62.971,0.0794676,0.0794676,0.462219,
16,63.143,0.081748,0.081748,0.469476,
16,63.2928,0.0837829,0.0837829,0.475809,
16,63.4661,0.0861947,0.0861947,0.483146,
16,63.7033,0.0895961,0.0895961,0.493194,
16,63.7378,0.0901014,0.0901014,0.494658,
16,63.9613,0.0934334,0.0934334,0.504132,
16,64.186,0.0968951,0.0968951,0.513655,
16,64.2093,0.0972608,0.0972608,0.514643,
16,64.4564,0.101213,0.101213,0.525103,
16,64.6373,0.104195,0.104195,0.532746,
16,64.9516,0.109562,0.109562,0.545986,
16,65.0918,0.112033,0.112033,0.551874,
16,65.4467,0.118508,0.118508,0.566709,
16,65.5494,0.120442,0.120442,0.570983,
16,65.9418,0.12808,0.12808,0.587201,
16,66.0103,0.129456,0.129456,0.590014,
16,66.437,0.138304,0.138304,0.607395,
16,66.4745,0.139106,0.139106,0.608911,
16,66.9321,0.149205,0.149205,0.627229,
16,66.9419,0.149427,0.149427,0.627616,
16,67.1378,0.153938,0.153938,0.635349,
16,67.4125,0.16045,0.16045,0.646074,
16,67.4272,0.160804,0.160804,0.646643,
16,67.8865,0.172206,0.172206,0.664231,
16,67.9224,0.173122,0.173122,0.665585,
16,68.3638,0.184723,0.184723,0.682039,
16,68.4175,0.186173,0.186173,0.684008,
16,68.8445,0.198029,0.198029,0.699449,
16,68.9126,0.199971,0.199971,0.701871,
16,69.3286,0.212144,0.212144,0.716419,
16,69.4078,0.214522,0.214522,0.719139,
16,69.816,0.227088,0.227088,0.73291,
16,69.9029,0.229827,0.229827,0.735783,
16,70.3069,0.242873,0.242873,0.748887,
16,70.398,0.245883,0.245883,0.751781,
16,70.8013,0.259506,0.259506,0.764322,
16,70.8932,0.262677,0.262677,0.767117,
16,71.2991,0.276985,0.276985,0.779189,
16,71.3883,0.280193,0.280193,0.781781,
16,71.8004,0.295303,0.295303,0.793469,
16,71.8834,0.298404,0.298404,0.795767,
16,72.3053,0.314442,0.314442,0.807147,
16,72.3786,0.317276,0.317276,0.809075,
16,72.3983,0.318042,0.318042,0.809592,
16,72.8136,0.334374,0.334374,0.820214,
16,72.8737,0.33677,0.33677,0.821711,
16,73.3256,0.355062,0.355062,0.832664,
16,73.3688,0.356835,0.356835,0.833682,
16,73.8412,0.376457,0.376457,0.844495,
16,73.864,0.377415,0.377415,0.845002,
16,74.3591,0.398447,0.398447,0.855684,
16,74.3604,0.398501,0.398501,0.85571,
16,74.8542,0.41986,0.41986,0.865747,
16,74.8832,0.421123,0.421123,0.866317,
16,75.3494,0.44158,0.44158,0.87521,
16,75.4097,0.444244,0.444244,0.876324,
16,75.8445,0.463525,0.463525,0.884096,
16,75.94,0.467774,0.467774,0.885744,
16,76.3396,0.485613,0.485613,0.892427,
16,76.4739,0.491615,0.491615,0.894593,
16,76.5949,0.497027,0.497027,0.896512,
16,76.8348,0.507757,0.507757,0.900226,
16,77.0116,0.515662,0.515662,0.902888,
16,77.3299,0.52987,0.52987,0.907519,
16,77.5531,0.539804,0.539804,0.910647,
16,77.825,0.551867,0.551867,0.914329,
16,78.0984,0.563929,0.563929,0.917891,
16,78.3202,0.573663,0.573663,0.920682,
16,78.6475,0.587921,0.587921,0.924642,
16,78.8153,0.595176,0.595176,0.926602,
16,79.2005,0.611666,0.611666,0.930922,
16,79.3105,0.61633,0.61633,0.932112,
16,79.7574,0.635055,0.635055,0.936754,
16,79.8056,0.637052,0.637052,0.937236,
16,80.3007,0.657278,0.657278,0.941998,
16,80.3181,0.65798,0.65798,0.94216,
16,80.3742,0.660233,0.660233,0.942675,
16,80.7959,0.676948,0.676948,0.94642,
16,80.8829,0.680344,0.680344,0.947163,
16,81.291,0.696011,0.696011,0.950521,
16,81.4516,0.702056,0.702056,0.951787,
16,81.7036,0.711402,0.711402,0.953711,
16,81.7861,0.714424,0.714424,0.954324,
16,82.0243,0.723038,0.723038,0.956053,
16,82.2813,0.732151,0.732151,0.957848,
16,82.601,0.743221,0.743221,0.959984,
16,82.7764,0.749164,0.749164,0.961111,
16,83.1818,0.762547,0.762547,0.963601,
16,83.2715,0.765442,0.765442,0.964131,
16,83.7667,0.780973,0.780973,0.966924,
17,55.3486,0.0215947,0.0215947,0.00918806,
17,55.8734,0.0236703,0.0236703,0.0103855,
17,56.016,0.0242673,0.0242673,0.0107369,
17,56.4031,0.0259625,0.0259625,0.0117509,
17,56.6834,0.0272614,0.0272614,0.0125436,
17,56.9378,0.0284951,0.0284951,0.0133088,
17,57.3508,0.0306134,0.0306134,0.0146497,
17,57.4777,0.0312944,0.0312944,0.0150879,
17,58.0182,0.0343629,0.0343629,0.0171033,
17,58.0226,0.0343892,0.0343892,0.0171209,
17,58.1294,0.0350294,0.0350294,0.0175498,
17,58.5727,0.0378119,0.0378119,0.0194458,
17,58.6856,0.0385533,0.0385533,0.0199596,
17,58.899,0.0399942,0.0399942,0.0209681,
17,59.128,0.0415977,0.0415977,0.0221058,
17,59.3529,0.043232,0.043232,0.0232816,
17,59.557,0.0447676,0.0447676,0.024401,
17,59.6886,0.0457856,0.0457856,0.0251508,
17,60.0203,0.0484497,0.0484497,0.0271411,
17,60.2545,0.0504186,0.0504186,0.0286377,
17,60.6877,0.0542616,0.0542616,0.0316198,
17,60.8258,0.0555434,0.0555434,0.0326319,
17,61.3551,0.060726,0.060726,0.0368095,
17,61.4025,0.0612112,0.0612112,0.0372075,
17,61.9846,0.0674777,0.0674777,0.042449,
17,62.0225,0.0679054,0.0679054,0.0428134,
17,62.5723,0.0744029,0.0744029,0.0484517,
17,62.6899,0.0758649,0.0758649,0.049746,
17,63.1655,0.0820514,0.0820514,0.0553228,
17,63.3573,0.0846727,0.0846727,0.0577334,
17,63.5321,0.0871287,0.0871287,0.0600169,
17,63.7644,0.0904921,0.0904921,0.0631823,
17,64.0247,0.0943986,0.0943986,0.0669131,
17,64.369,0.099798,0.099798,0.0721626,
17,64.6921,0.105113,0.105113,0.0774323,
17,64.9792,0.110046,0.110046,0.0824093,
17,65.3595,0.116887,0.116887,0.0894467,
17,65.5953,0.121314,0.121314,0.0940799,
17,66.0268,0.129789,0.129789,0.103117,
17,66.2172,0.133685,0.133685,0.107342,
17,66.6942,0.143882,0.143882,0.118604,
17,66.845,0.147237,0.147237,0.122371,
17,67.3616,0.159226,0.159226,0.136065,
17,67.4787,0.162052,0.162052,0.139343,
17,67.801,0.170035,0.170035,0.148707,
17,68.029,0.17587,0.17587,0.155642,
17,68.1185,0.178204,0.178204,0.158435,
17,68.6964,0.193853,0.193853,0.177457,
17,68.7643,0.19576,0.19576,0.179807,
17,69.3638,0.213199,0.213199,0.2016,
17,69.4163,0.214779,0.214779,0.203599,
17,70.0312,0.233915,0.233915,0.228116,
17,70.0744,0.235304,0.235304,0.229916,
17,70.2737,0.241781,0.241781,0.23834,
17,70.6986,0.25599,0.25599,0.256998,
17,70.7388,0.257362,0.257362,0.258812,
17,71.366,0.279387,0.279387,0.288171,
17,71.4094,0.280957,0.280957,0.290279,
17,72.0333,0.30405,0.30405,0.321489,
17,72.0865,0.306065,0.306065,0.324227,
17,72.7007,0.329892,0.329892,0.356729,
17,72.7699,0.332635,0.332635,0.360481,
17,73.3681,0.356806,0.356806,0.393591,
17,73.4598,0.36058,0.36058,0.398764,
17,73.9398,0.380608,0.380608,0.426178,
17,74.0355,0.384654,0.384654,0.431706,
17,74.1563,0.389782,0.389782,0.438706,
17,74.7029,0.413279,0.413279,0.470647,
17,74.8594,0.420084,0.420084,0.479847,
17,75.3703,0.442503,0.442503,0.509949,
17,75.5691,0.451296,0.451296,0.521655,
17,76.0377,0.47213,0.47213,0.549128,
17,76.2856,0.483196,0.483196,0.563552,
17,76.7051,0.501955,0.501955,0.587707,
17,77.0088,0.515538,0.515538,0.604945,
17,77.3725,0.531766,0.531766,0.625238,
17,77.7389,0.548054,0.548054,0.645255,
